Entering Configuration Mode Successful!
15:41:02.153 -> 11396; ID;98FEBD00 Data;208;255;28;32;255;255;255;255;
15:41:02.153 -> 11400; ID;8C000003 Data;1;112;23;;0;0;0;0;
15:41:02.153 -> 11404; ID;8CF00400 Data;246;125;146;160;22;255;244;255;
15:41:02.200 -> 11409; ID;98FF3500 Data;195;3;36;82;31;0;255;253;
15:41:02.200 -> 11413; ID;98FED900 Daa;0;0;0;7;255;255;255;255;
15:41:02.200 -> 11417; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:02.200 -> 11421; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.200 -> 11425; ID;98F00A00 Data;255;255;243;10;255;255;255;255;
15:41:02.200 -> 1140; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:02.200 -> 11435; ID;98FEF200 Data;8;0;255;255;255;255;195;255;
